society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ag26,Susu,xd262,susu1250,Susu,Mande,EA023,1,Cross-cousin,1930,,
Ag32,Senufo,xd269,ceba1235,Cebaara Senoufo,Atlantic-Congo,EA023,1,Cross-cousin,1900,,Inferred from statement that marriage is disapproved with a parallel cousin
Ag33,Dyan,xd270,dyan1251,Dyan,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ag34,Dorosie,xd271,dogo1295,Dogosé,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ag35,Kulango,xd272,boun1243,Bouna Kulango,Atlantic-Congo,EA023,1,Cross-cousin,1910,,
Ag36,Lowiili,xd273,sout2790,Southern Birifor,Atlantic-Congo,EA023,1,Cross-cousin,1950,,
Ag43,Vagala,xd281,vagl1239,Vagla,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ag5,Birifor,xd288,sout2790,Southern Birifor,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ag54,Yalunka,xd293,yalu1240,Yalunka,Mande,EA023,1,Cross-cousin,1910,,
Ag9,Malinke,xd297,kita1249,Kita Maninkakan,Mande,EA023,1,Cross-cousin,1930,,"In some districts, but not in others"
Ah23,Jibu,xd313,jibu1239,Jibu,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ah26,Ndoro,xd316,ndoo1241,Ndoola,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ah27,Zuande,xd317,bita1251,Bitare,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ai8,Dilling,xd382,dill1242,Dilling,Nubian,EA023,1,Cross-cousin,1930,,
Ca1,Konso,xd415,kons1243,Konso,Afro-Asiatic,EA023,1,Cross-cousin,1930,Town of Buso,
Cb1,Maguzawa,xd458,kano1249,Kano,Afro-Asiatic,EA023,1,Cross-cousin,1940,,
Cb2,Wolof,xd469,nucl1347,Wolof,Atlantic-Congo,EA023,1,Cross-cousin,1950,Upper and lower Salum in Gambia,
Cb21,Djafun,xd471,adam1253,Adamawa Fulfulde,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Cb6,Tera,xd483,tera1251,Tera,Afro-Asiatic,EA023,1,Cross-cousin,1920,,
Cb7,Bolewa,xd484,nucl1695,Bole,Afro-Asiatic,EA023,1,Cross-cousin,1920,,
Cc10,Asben,xd488,taya1257,Tayart Tamajeq,Afro-Asiatic,EA023,1,Cross-cousin,1900,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,EA023,1,Cross-cousin,1920,Ahaggaren tribe,"Entry follows Briggs; earlier sources report 'any first cousins' (code ""10"")"
Ce1,Gheg,xd528,gheg1238,Gheg Albanian,Indo-European,EA023,1,Cross-cousin,1900,Mountain Gheg of No. Albania,
Eb2,Tu,xd610,tuuu1240,Tu,Mongolic,EA023,1,Cross-cousin,1920,,
Ed15b,Chekiang,xd643,wuch1236,Wu Chinese,Sino-Tibetan,EA023,1,Cross-cousin,1936,"Kaihsienkung Village, Chekiang",
Ed2,Lolo,xd645,sich1238,Sichuan Yi,Sino-Tibetan,EA023,1,Cross-cousin,1940,Liang Shan and Taliang S,
Ed3,Manchu,xd646,manc1252,Manchu,Tungusic,EA023,1,Cross-cousin,1920,Aigun District,
Ed4,Miao,xd647,horn1235,Horned Miao,Hmong-Mien,EA023,1,Cross-cousin,1940,with special reference to the Magpie (Yachio) Miao,"Or 'cross-cousin' (code ""1"") if Mark's interpretation of Ruey's data is correct"
Ef9,Gujarati,xd671,guja1252,Gujarati,Indo-European,EA023,1,Cross-cousin,1136,"Village of Atgam, Surat District; possibly also other areas",
Eg1,Chenchu,xd672,chen1255,Chenchu,Dravidian,EA023,1,Cross-cousin,1940,with special reference to the forest group,
Eg10,Telugu,xd673,telu1262,Telugu,Dravidian,EA023,1,Cross-cousin,1950,with special reference to the village of Shamirpet,
Eg11,Koya,xd674,koya1251,Koya,Dravidian,EA023,1,Cross-cousin,1960,with special reference to the Gommu Koya,
Eg12,Khond,xd675,kuii1252,Kui (India),Dravidian,EA023,1,Cross-cousin,1940,with special reference to the Bondo,
Eg13,Muria Gond,xd676,west2408,Western Muria,Dravidian,EA023,1,Cross-cousin,1941,Bastar State,
Eg14,Reddi,xd677,mukh1238,Mukha-Dora,Dravidian,EA023,1,Cross-cousin,1940,with special reference to those of the Bison Hills,
Eg2,Tamil,xd678,tami1289,Tamil,Dravidian,EA023,1,Cross-cousin,1880,with special reference to the agricultural castes in Tanjore,
Eg3,Madia,xd679,mari1414,Maria (India),Dravidian,EA023,1,Cross-cousin,1938,Hill Maria,
Eg4,Toda,xd680,toda1252,Toda,Dravidian,EA023,1,Cross-cousin,1900,Toda Tribe,
Eg5,Kodavas,xd681,koda1255,Kodava,Dravidian,EA023,1,Cross-cousin,1930,,
Eg6,Kerala,xd682,mala1464,Malayalam,Dravidian,EA023,1,Cross-cousin,1799,with special reference to Northern Kerala,
Eg7,Hill Bhuiya,xd683,oriy1255,Odia,Indo-European,EA023,1,Cross-cousin,1930,with special reference to the Pauri or Hill Bhuiya,
Eg9,Baiga,xd685,chha1249,Chhattisgarhi,Indo-European,EA023,1,Cross-cousin,1930,,
Eh2,Merina,xd688,meri1243,Merina,Austronesian,EA023,1,Cross-cousin,1900,,Marriage is also favored with a FaBrDa
Eh3,Tanala,xd689,tana1285,Tanala,Austronesian,EA023,1,Cross-cousin,1930,Menabe subtribe,
Eh4,Vedda,xd690,vedd1240,Veddah,Indo-European,EA023,1,Cross-cousin,1900,with special reference to the Rock Vedda,
Eh6,Sinhalese,xd692,sinh1246,Sinhala,Indo-European,EA023,1,Cross-cousin,1950,with special reference to the Kandyan Sinhalese,"Leach denies ""a symmetrical preference for cross-cousin marriage"" but fails to report the ""true facts"""
Ei1,Garo,xd696,garo1247,Garo,Sino-Tibetan,EA023,1,Cross-cousin,1900,Rengsanggr,
Ei8,Khasi,xd714,khas1269,Khasi,Austroasiatic,EA023,1,Cross-cousin,1900,with special reference to those of the Jaintia Hills,"Marriage is allowed with a MoBrDa only if MoBr is dead, and with a FaSiDa only if Fa is dead"
Ei9,Mogh,xd715,rakh1245,Rakhine,Sino-Tibetan,EA023,1,Cross-cousin,1880,,
Ej10,Rade,xd717,rade1240,Rade,Austronesian,EA023,1,Cross-cousin,1950,Ko-Sier Village,
Ej16,Negri Sembilan,xd723,nege1240,Negeri Sembilan Malay,Austronesian,EA023,1,Cross-cousin,1958,Inas District,
Ib6,Minangkabau,xd755,mina1268,Minangkabau,Austronesian,EA023,1,Cross-cousin,1920,,
Ic13,Kodi,xd763,kodi1247,Kodi-Gaura,Austronesian,EA023,1,Cross-cousin,1950,,
Ic6,Tanimbarese,xd768,sela1259,Selaru,Austronesian,EA023,1,Cross-cousin,1930,,
Ic7,Ili-Mandiri,xd769,lama1277,Lamaholot,Austronesian,EA023,1,Cross-cousin,1920,with special reference to the village of Leloba in E. Flores,
Id5,Kariyarra,xd780,kari1304,Kariyarra,Pama-Nyungan,EA023,1,Cross-cousin,1910,,
Ie2,Wantoat,xd796,want1252,Wantoat,Nuclear Trans New Guinea,EA023,1,Cross-cousin,1920,,
Ie27,Banaro,xd804,bana1292,Banaro,,EA023,1,Cross-cousin,1910,,
Ie31,Fore,xd809,fore1270,Fore,Nuclear Trans New Guinea,EA023,1,Cross-cousin,1950,,
Ie33,Soromadja,xd811,nucl1595,Kwerba,Greater Kwerba,EA023,1,Cross-cousin,1950,with special reference to the village of Muramarew,
Ie35,Iatmul,xd813,iatm1242,Iatmul,Ndu,EA023,1,Cross-cousin,1930,,
Ie38,Dani,xd816,midg1235,Mid Grand Valley Dani,Nuclear Trans New Guinea,EA023,1,Cross-cousin,1960,with special reference to the Dugum group of the Grand Valley of the Balim River,
Ie9,Orokaiva,xd823,orok1269,Orokaiva,Nuclear Trans New Guinea,EA023,1,Cross-cousin,1920,,
If10,Nomoians,xd825,mort1237,Mortlockese,Austronesian,EA023,1,Cross-cousin,1940,,
If11,Kosraeans,xd826,kosr1238,Kosraean,Austronesian,EA023,1,Cross-cousin,1860,,
If12,Bikinians,xd827,rali1241,Rälik,Austronesian,EA023,1,Cross-cousin,1940,,
If13,Nauruans,xd828,naur1243,Nauru,Austronesian,EA023,1,Cross-cousin,1900,,
If17,Marshallese,xd832,rata1243,Ratak,Austronesian,EA023,1,Cross-cousin,1900,with special reference to the island of Jaluit,
If3,Majuro,xd834,rata1243,Ratak,Austronesian,EA023,1,Cross-cousin,1940,With special reference to the inhabitants of Majuro,
If5,Ponapeans,xd836,pohn1238,Pohnpeian,Austronesian,EA023,1,Cross-cousin,1910,,
Ig1,Siuai,xd841,siwa1245,Siwai,South Bougainville,EA023,1,Cross-cousin,1940,Northeastern group,
Ig17,Kombe,xd849,mudu1242,Muduapa,Austronesian,EA023,1,Cross-cousin,1950,,
Ig21,Tangu,xd854,tang1355,Tanggu,Lower Sepik-Ramu,EA023,1,Cross-cousin,1930,with special reference to Boieng Island,
Ig7,Lakalai,xd859,naka1262,Nakanai,Austronesian,EA023,1,Cross-cousin,1950,,
Ih10,Tannese,xd863,sout2869,Southwest Tanna,Austronesian,EA023,1,Cross-cousin,1920,Whitsands,
Ih11,Epi,xd864,lame1260,Lamenu,Austronesian,EA023,1,Cross-cousin,1920,,
Ih4,Lau,xd870,laua1243,Lauan,Austronesian,EA023,1,Cross-cousin,1920,Lau Island,
Ih5,Ajie,xd871,ajie1238,Ajië,Austronesian,EA023,1,Cross-cousin,1860,Neje Chiefdom,
Ih9,Santa Cruz Islanders,xd875,natu1246,Natügu,Austronesian,EA023,1,Cross-cousin,1930,Graciosa Bay,
Ii10,Rennell Islanders,xd877,renn1242,Rennell-Bellona,Austronesian,EA023,1,Cross-cousin,1950,,
Ij3,Marquesans,xd892,nort2845,North Marquesan,Austronesian,EA023,1,Cross-cousin,1900,,"But Miranda states that ""marriage was prohibited within the third degree of relationship"""
Na1,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,EA023,1,Cross-cousin,1930,,
Na10,Chugach,xd1027,chug1254,Chugach,Eskimo-Aleut,EA023,1,Cross-cousin,1930,,
Na19,Dakelh,xd1035,carr1249,Carrier,Athabaskan-Eyak-Tlingit,EA023,1,Cross-cousin,1880,with special reference to the Hwitsowitenne,
Na32,Montagnais,xd1048,mont1268,Montagnais,Algic,EA023,1,Cross-cousin,1880,Lake St. John & Mistassini Band,
Na33,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,EA023,1,Cross-cousin,1870,Berens River band,
Na34,Pekangekum,xd1050,lacs1238,Lac Seul Ojibwa,Algic,EA023,1,Cross-cousin,1940,a band of Northern Saulteaux very closely akin to Na33 (Berens River band) but described as of a much more recent date,
Na35,Nipigon,xd1051,cent2136,Central Ojibwa,Algic,EA023,1,Cross-cousin,1800,,
Na36,Minnesota Ojibwa,xd1052,redl1238,Red Lake Chippewa,Algic,EA023,1,Cross-cousin,1860,with special reference to the Red Lake and White Earth bands,
Na37,Rainy River Ojibwe,xd1053,rain1239,Rainy River Ojibwa,Algic,EA023,1,Cross-cousin,1880,,
Na38,Katikitegon,xd1054,uppe1274,Upper Michigan-Wisconsin Chippewa,Algic,EA023,1,Cross-cousin,1800,with special reference to the Lac Vieux Desert band,
Na39,Eastern Ojibwa,xd1055,east2542,Eastern Ojibwa,Algic,EA023,1,Cross-cousin,1870,with special reference to the Kitchibuan of Parry Island,
Na45,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,EA023,1,Cross-cousin,1900,,
Na5,Naskapi,xd1063,nask1242,Naskapi,Algic,EA023,1,Cross-cousin,1890,"with special reference to the northern bands (Barren Ground, Ungava, White Whale River)",
Na7,Attawapiskat Cree,xd1065,swam1239,Swampy Cree,Algic,EA023,1,Cross-cousin,1900,with special reference to the Attawapiskat Swampy Cree,
Nb1,Haida,xd1068,nort2938,Northern Haida,Haida,EA023,1,Cross-cousin,1890,Masset Town,
Nb23,Heiltsuk,xd1083,bell1263,Bella Bella,Wakashan,EA023,1,Cross-cousin,1880,,"Marriage with a cross-cousin was considered ""good"""
Nb5,Eyak,xd1102,eyak1241,Eyak,Athabaskan-Eyak-Tlingit,EA023,1,Cross-cousin,1890,Eyak Tribe,
Nb7,Tsimshian,xd1104,nucl1649,Southern-Coastal Tsimshian,Tsimshian,EA023,1,Cross-cousin,1880,,
Nb8,Haisla,xd1105,hais1244,Haisla,Wakashan,EA023,1,Cross-cousin,1880,,
Nd38,Ely Shoshoni,xd1172,west2622,Western Shoshoni,Uto-Aztecan,EA023,1,Cross-cousin,1870,,
Nd43,White Knife Shoshoni,xd1178,west2622,Western Shoshoni,Uto-Aztecan,EA023,1,Cross-cousin,1860,,Entry follows Harris; Steward reports only marriage with a pseudo-cross-cousin
Nd48,Gosiute,xd1183,gosi1242,Gosiute,Uto-Aztecan,EA023,1,Cross-cousin,1860,with special reference to those of Deep Creek,"But 'cross-cousin' (code ""1"") in the Skull Valley band"
Nd65,Hualapai,xd1202,wala1270,Walapai,Cochimi-Yuman,EA023,1,Cross-cousin,1870,,
Ne19,Plains Cree,xd1218,plai1258,Plains Cree,Algic,EA023,1,Cross-cousin,1850,,
Nf2,Ho Chunk,xd1236,hoch1243,Ho-Chunk,Siouan,EA023,1,Cross-cousin,1850,,
Sa2,Tzeltal,xd1318,tzel1254,Tzeltal,Mayan,EA023,1,Cross-cousin,1940,with special reference to the town of Canuc; some data apply to the group more generally,Entry follows Guiteras; Villa says marriage is preferred with a classificatory cross-cousin but disapproved with a first cross-cousin
Sa5,Bribri,xd1321,brib1243,Bribri,Chibchan,EA023,1,Cross-cousin,1950,,
Sa7,Garifuna,xd1323,gari1256,Garifuna,Arawakan,EA023,1,Cross-cousin,1940,,
Sa9,Miskito,xd1325,misk1235,Mískito,Misumalpan,EA023,1,Cross-cousin,1920,Vicinity: Cape Gracias a Dios,
Sb1,Callinago,xd1326,isla1278,Island Carib,Arawakan,EA023,1,Cross-cousin,1650,Dominica Island,
Sb3,Barí (Motilon),xd1328,yukp1241,Yukpa,Cariban,EA023,1,Cross-cousin,1940,with special reference to the Iroka,
Sb7,Yupa,xd1332,yukp1241,Yukpa,Cariban,EA023,1,Cross-cousin,1950,with special reference to the Pariri,
Sc10,Lokono,xd1336,araw1276,Lokono,Arawakan,EA023,1,Cross-cousin,1900,,
Sc11,Camaracoto,xd1337,cama1252,Camaracoto,Cariban,EA023,1,Cross-cousin,1930,,
Sc12,Macushi,xd1338,macu1259,Macushi,Cariban,EA023,1,Cross-cousin,1910,,
Sc13,Panare,xd1339,enap1235,Panare,Cariban,EA023,1,Cross-cousin,1950,,"Entry follows Wilbert; Riley reports 'cross-cousin' (code ""1"")"
Sc16,Ye'kuana,xd1342,maqu1238,Maquiritari,Cariban,EA023,1,Cross-cousin,1920,with special reference to the Makitare,
Sc17,Piapoco,xd1343,piap1246,Piapoco,Arawakan,EA023,1,Cross-cousin,1950,,
Sc2,Pumé,xd1345,pume1238,Pumé,,EA023,1,Cross-cousin,1950,,
Sc3,Barama River Carib,xd1346,mura1272,Murato,Cariban,EA023,1,Cross-cousin,1930,Barama River,
Sc4,Guahibo,xd1347,guah1255,Guahibo,Guahiboan,EA023,1,Cross-cousin,1950,with special reference to the non-agricultural groups,
Sc5,Wapishana,xd1348,wapi1253,Wapishana,Arawakan,EA023,1,Cross-cousin,1900,,
Sc7,Yabarana,xd1350,yaba1248,Yabarana,Cariban,EA023,1,Cross-cousin,1950,,
Sc8,Piaroa,xd1351,piar1243,Piaroa,Jodi-Saliban,EA023,1,Cross-cousin,1950,,
Sd1,Munduruku,xd1353,mund1330,Mundurukú,Tupian,EA023,1,Cross-cousin,1950,Cabrura village,
Sd6,Shiriana,xd1358,nina1238,Ninam,Yanomamic,EA023,1,Cross-cousin,1960,,
Sd7,Wai-wai,xd1359,waiw1244,Waiwai,Cariban,EA023,1,Cross-cousin,1950,,
Sd9,Yanomami,xd1361,yano1261,Yanomamö,Yanomamic,EA023,1,Cross-cousin,1965,Shamatari Tribe; Bisaasi-teri,
Se11,Chácobo,xd1364,chac1251,Chácobo,Pano-Tacanan,EA023,1,Cross-cousin,1960,,
Se12,Tucano,xd1365,tuca1252,Tucano,Tucanoan,EA023,1,Cross-cousin,1950,,
Se2,Ticuna,xd1366,ticu1245,Ticuna,Ticuna-Yuri,EA023,1,Cross-cousin,1940,,
Se3,Shuar,xd1367,shua1257,Shuar,Chicham,EA023,1,Cross-cousin,1930,,
Se5,Cubeo,xd1369,cube1242,Cubeo,Tucanoan,EA023,1,Cross-cousin,1940,Village on Caduiari River,But Goldman reports a preference for marrying a woman of one's mother's lineage
Se6,Witoto,xd1370,muru1274,Murui Huitoto,Huitotoan,EA023,1,Cross-cousin,1910,,
Se8,Amahuaca,xd1372,amah1246,Amahuaca,Pano-Tacanan,EA023,1,Cross-cousin,1950,Upper Inuya River,
Sf8,Piro,xd1381,yine1238,Yine,Arawakan,EA023,1,Cross-cousin,1950,,
Si1,Bororo,xd1397,boro1282,Bororo,Bororoan,EA023,1,Cross-cousin,1920,Kejara,
Si10,Kuikuru,xd1398,kuik1246,Kuikúro-Kalapálo,Cariban,EA023,1,Cross-cousin,1950,,
Si2,Trumai,xd1399,trum1247,Trumai,,EA023,1,Cross-cousin,1930,Village of Vanivani,
Si3,Bacairi,xd1400,baka1277,Bakairí,Cariban,EA023,1,Cross-cousin,1940,Simao Lopes,
Si4,Nambikwara,xd1401,sout2994,Southern Nambikuára,Nambiquaran,EA023,1,Cross-cousin,1940,Cocozu Group,
Si5,Kamayurá,xd1402,kama1373,Kamayurá,Tupian,EA023,1,Cross-cousin,1940,,
Sj8,Tupinambá,xd1416,tupi1273,Tupinambá,Tupian,EA023,1,Cross-cousin,1600,Hinterland of Rio de Janeiro,
ec13,Itelmen,xd621,itel1242,Itelmen,Chukotko-Kamchatkan,EA023,1,Cross-cousin,1710,those of Eastern Kamchatka,
ec16,Evenk,xd624,even1259,Evenki,Tungusic,EA023,1,Cross-cousin,1890,Barguzin group,
ec17,Negidal,xd625,negi1245,Negidal,Tungusic,EA023,1,Cross-cousin,1890,Upper Amgun' River group,
ec18,Ulch,xd626,ulch1241,Ulch,Tungusic,EA023,1,Cross-cousin,1890,Ulch people as a whole,
ec19,Orok,xd627,orok1265,Orok,Tungusic,EA023,1,Cross-cousin,1890,Northern group,
ec20,Oroch,xd629,oroc1248,Oroch,Tungusic,EA023,1,Cross-cousin,1890,Oroch people as a whole,
ec21,Udihe,xd630,udih1248,Udihe,Tungusic,EA023,1,Cross-cousin,1890,Hor River group,
Ig2,Trobriands,xd852,kili1267,Kilivila,Austronesian,EA023,2,Paternal only,1910,Kiriwina Island,
Eb5,Turkmen,xd613,turk1304,Turkmen,Turkic,EA023,3,Maternal only,1910,with special reference to the sedentary Teke of the Merv oasis,"Possibly 'matrilateral cross-cousins only' (code ""6"")"
Eb6,Buryat,xd614,russ1264,Russia Buriat,Mongolic,EA023,3,Maternal only,1900,with special reference to those southeast of Lake Baikal,
Eb7,Chahar,xd615,peri1253,Peripheral Mongolian,Mongolic,EA023,3,Maternal only,1930,,
Ec9,Nanai,xd637,nana1257,Nanai,Tungusic,EA023,3,Maternal only,1920,,
Ed6,Min Chinese,xd649,minn1241,Min Nan Chinese,Sino-Tibetan,EA023,3,Maternal only,1920,with special reference to those in the hinterland of Swatow,
Ei4,Maras,xd710,mara1382,Mara Chin,Sino-Tibetan,EA023,3,Maternal only,1930,Lakher Tribe,
Nb6,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,EA023,3,Maternal only,1870,,
Sa6,Yucatec Maya,xd1322,yuca1254,Yucatec Maya,Mayan,EA023,3,Maternal only,1520,,"In Murdock (1962d) he coded this as 'matrilateral cross-cousins only' (code ""6"") and noted ""Landa specifically reports marriageability of maternal cousins; hence possibly 'maternal only' (code ""3"") rather than 'matrilateral cross-cousins only' (code ""6"") ."" In the EA he coded the column as 'maternal only' (code ""3"")"
Aa6,Sandawe,xd6,sand1273,Sandawe,,EA023,6,Matrilateral cross only,1920,,
Ab15,Pedi,xd16,tswe1238,Tswene,Atlantic-Congo,EA023,6,Matrilateral cross only,1860,,
Ac19,Teke,xd43,teke1278,Teke-Eboo-Nzikou,Atlantic-Congo,EA023,6,Matrilateral cross only,1880,,
Ac29,Luwa,xd54,sond1250,Sonde,Atlantic-Congo,EA023,6,Matrilateral cross only,1930,,Inferred from the report that parallel cousins and FaSi are not marriageable
Ac33,Lala,xd59,lala1264,Lala-Bisa,Atlantic-Congo,EA023,6,Matrilateral cross only,1940,,
Ad13,Kiga,xd80,chig1238,Chiga,Atlantic-Congo,EA023,6,Matrilateral cross only,1930,,
Ae19,Garanganze,xd137,sang1331,Sanga (Democratic Republic of Congo),Atlantic-Congo,EA023,6,Matrilateral cross only,1930,,
